time,obstacle_id,x,y,z,radius
9.5,fast_crossing_ball_1,10.0,-6.2,-3.0,0.55
9.5,fast_crossing_ball_2,16.0,15.45,-3.0,0.55
9.5,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
9.5,inner_patrol_ball,22.4522,1.0377,-3.0,0.45
9.5,target_patrol_ball,33.9067,19.2578,-3.0,0.45
9.75,fast_crossing_ball_1,10.0,-5.9,-3.0,0.55
9.75,fast_crossing_ball_2,16.0,15.125,-3.0,0.55
9.75,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
9.75,inner_patrol_ball,22.9005,1.0012,-3.0,0.45
9.75,target_patrol_ball,33.7915,18.9012,-3.0,0.45
10.0,fast_crossing_ball_1,10.0,-5.6,-3.0,0.55
10.0,fast_crossing_ball_2,16.0,14.8,-3.0,0.55
10.0,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
10.0,inner_patrol_ball,23.35,1.0153,-3.0,0.45
10.0,target_patrol_ball,33.6327,18.5617,-3.0,0.45
10.25,fast_crossing_ball_1,10.0,-5.3,-3.0,0.55
10.25,fast_crossing_ball_2,16.0,14.475,-3.0,0.55
10.25,diagonal_crossing_ball,22.0648,-14.7327,-3.0,0.5
10.25,inner_patrol_ball,23.7951,1.0798,-3.0,0.45
10.25,target_patrol_ball,33.4329,18.2447,-3.0,0.45
10.5,fast_crossing_ball_1,10.0,-5.0,-3.0,0.55
10.5,fast_crossing_ball_2,16.0,14.15,-3.0,0.55
10.5,diagonal_crossing_ball,22.1296,-14.4655,-3.0,0.5
10.5,inner_patrol_ball,24.2302,1.1939,-3.0,0.45
10.5,target_patrol_ball,33.1951,17.9551,-3.0,0.45
10.75,fast_crossing_ball_1,10.0,-4.7,-3.0,0.55
10.75,fast_crossing_ball_2,16.0,13.825,-3.0,0.55
10.75,diagonal_crossing_ball,22.1944,-14.1982,-3.0,0.5
10.75,inner_patrol_ball,24.6497,1.356,-3.0,0.45
10.75,target_patrol_ball,32.923,17.6974,-3.0,0.45
11.0,fast_crossing_ball_1,10.0,-4.4,-3.0,0.55
11.0,fast_crossing_ball_2,16.0,13.5,-3.0,0.55
11.0,diagonal_crossing_ball,22.2592,-13.931,-3.0,0.5
11.0,inner_patrol_ball,25.0483,1.5643,-3.0,0.45
11.0,target_patrol_ball,32.6209,17.4756,-3.0,0.45
11.25,fast_crossing_ball_1,10.0,-4.1,-3.0,0.55
11.25,fast_crossing_ball_2,16.0,13.175,-3.0,0.55
11.25,diagonal_crossing_ball,22.324,-13.6637,-3.0,0.5
11.25,inner_patrol_ball,25.4211,1.8159,-3.0,0.45
11.25,target_patrol_ball,32.2935,17.2932,-3.0,0.45
11.5,fast_crossing_ball_1,10.0,-3.8,-3.0,0.55
11.5,fast_crossing_ball_2,16.0,12.85,-3.0,0.55
11.5,diagonal_crossing_ball,22.3887,-13.3964,-3.0,0.5
11.5,inner_patrol_ball,25.7632,2.1079,-3.0,0.45
11.5,target_patrol_ball,31.946,17.153,-3.0,0.45
11.75,fast_crossing_ball_1,10.0,-3.5,-3.0,0.55
11.75,fast_crossing_ball_2,16.0,12.525,-3.0,0.55
11.75,diagonal_crossing_ball,22.4535,-13.1292,-3.0,0.5
11.75,inner_patrol_ball,26.0705,2.4364,-3.0,0.45
11.75,target_patrol_ball,31.5836,17.0573,-3.0,0.45
12.0,fast_crossing_ball_1,10.0,-3.2,-3.0,0.55
12.0,fast_crossing_ball_2,16.0,12.2,-3.0,0.55
