center_id,x,y,z,along,lateral,survival_time,failed,first_obstacle_id,first_uav_index,first_distance,intrusion_threshold
61,3.7831104015285755,7.84990845440808,-3.0,8.0,3.4544155877284286,90.0,False,,,,
62,3.1281798631107334,8.605597537197898,-3.0,8.0,4.454415587728429,90.0,False,,,,
63,2.4732493246928917,9.361286619987716,-3.0,8.0,5.454415587728429,90.0,False,,,,
64,2.4135400773479296,9.430181905385748,-3.0,8.0,5.545584412271571,90.0,False,,,,
65,11.188863412868788,2.3585677861354055,-3.0,10.0,-5.545584412271571,15.0,True,slow_crossing_ball,2,1.287075173309151,1.4
66,10.533932874450946,3.1142568689252235,-3.0,10.0,-4.545584412271571,90.0,False,,,,
67,9.879002336033103,3.869945951715041,-3.0,10.0,-3.5455844122715714,90.0,False,,,,
68,9.224071797615261,4.6256350345048585,-3.0,10.0,-2.5455844122715714,90.0,False,,,,
69,8.56914125919742,5.381324117294676,-3.0,10.0,-1.5455844122715714,90.0,False,,,,
70,7.914210720779578,6.1370132000844935,-3.0,10.0,-0.5455844122715714,90.0,False,,,,
71,7.259280182361736,6.892702282874311,-3.0,10.0,0.4544155877284286,90.0,False,,,,
72,6.604349643943895,7.6483913656641285,-3.0,10.0,1.4544155877284286,90.0,False,,,,
73,5.949419105526053,8.404080448453946,-3.0,10.0,2.4544155877284286,90.0,False,,,,
74,5.2944885671082105,9.159769531243764,-3.0,10.0,3.4544155877284286,90.0,False,,,,
75,4.639558028690368,9.915458614033582,-3.0,10.0,4.454415587728429,90.0,False,,,,
76,3.9846274902725267,10.6711476968234,-3.0,10.0,5.454415587728429,90.0,False,,,,
77,3.9249182429275646,10.740042982221432,-3.0,10.0,5.545584412271571,90.0,False,,,,
78,12.700241578448423,3.668428862971089,-3.0,12.0,-5.545584412271571,16.5,True,slow_crossing_ball,2,1.1975601185053608,1.4
79,12.045311040030581,4.424117945760907,-3.0,12.0,-4.545584412271571,17.5,True,slow_crossing_ball,2,1.1431280540773572,1.4
80,11.39038050161274,5.179807028550725,-3.0,12.0,-3.5455844122715714,19.0,True,slow_crossing_ball,2,1.154304825220553,1.4
81,10.735449963194897,5.935496111340542,-3.0,12.0,-2.5455844122715714,24.5,True,slow_crossing_ball,1,1.2963775781670854,1.4
82,10.080519424777055,6.69118519413036,-3.0,12.0,-1.5455844122715714,90.0,False,,,,
83,9.425588886359215,7.446874276920177,-3.0,12.0,-0.5455844122715714,90.0,False,,,,
84,8.770658347941373,8.202563359709995,-3.0,12.0,0.4544155877284286,90.0,False,,,,
85,8.11572780952353,8.958252442499813,-3.0,12.0,1.4544155877284286,90.0,False,,,,
86,7.4607972711056885,9.71394152528963,-3.0,12.0,2.4544155877284286,90.0,False,,,,
87,6.805866732687846,10.469630608079449,-3.0,12.0,3.4544155877284286,90.0,False,,,,
88,6.150936194270004,11.225319690869265,-3.0,12.0,4.454415587728429,90.0,False,,,,
89,5.496005655852162,11.981008773659083,-3.0,12.0,5.454415587728429,90.0,False,,,,
90,5.4362964085072,12.049904059057116,-3.0,12.0,5.545584412271571,90.0,False,,,,
91,14.211619744028058,4.978289939806772,-3.0,14.0,-5.545584412271571,22.0,True,slow_crossing_ball,3,1.301531742015505,1.4
92,13.556689205610216,5.73397902259659,-3.0,14.0,-4.545584412271571,21.0,True,slow_crossing_ball,2,1.3753334167328957,1.4
93,12.901758667192373,6.489668105386407,-3.0,14.0,-3.5455844122715714,20.5,True,slow_crossing_ball,2,1.315364179936964,1.4
94,12.246828128774531,7.245357188176225,-3.0,14.0,-2.5455844122715714,21.5,True,slow_crossing_ball,2,1.1580935339776888,1.4
95,11.59189759035669,8.001046270966043,-3.0,14.0,-1.5455844122715714,22.5,True,slow_crossing_ball,2,1.347682792503166,1.4
96,10.936967051938847,8.756735353755861,-3.0,14.0,-0.5455844122715714,24.5,True,slow_crossing_ball,2,1.3677425574101796,1.4
97,10.282036513521007,9.512424436545677,-3.0,14.0,0.4544155877284286,90.0,False,,,,
98,9.627105975103165,10.268113519335495,-3.0,14.0,1.4544155877284286,90.0,False,,,,
99,8.972175436685323,11.023802602125313,-3.0,14.0,2.4544155877284286,90.0,False,,,,
100,8.31724489826748,11.779491684915131,-3.0,14.0,3.4544155877284286,90.0,False,,,,
101,7.662314359849638,12.535180767704949,-3.0,14.0,4.454415587728429,90.0,False,,,,
102,7.007383821431796,13.290869850494765,-3.0,14.0,5.454415587728429,90.0,False,,,,
103,6.947674574086834,13.3597651358928,-3.0,14.0,5.545584412271571,90.0,False,,,,
104,15.722997909607694,6.288151016642456,-3.0,16.0,-5.545584412271571,25.0,True,slow_crossing_ball,3,1.273586917683237,1.4
105,15.068067371189851,7.043840099432274,-3.0,16.0,-4.545584412271571,25.0,True,slow_crossing_ball,3,1.3345106747048294,1.4
106,14.41313683277201,7.799529182222091,-3.0,16.0,-3.5455844122715714,26.0,True,slow_crossing_ball,3,1.2870747678282244,1.4
107,13.758206294354167,8.55521826501191,-3.0,16.0,-2.5455844122715714,27.5,True,slow_crossing_ball,3,1.2582393221603383,1.4
108,13.103275755936325,9.310907347801727,-3.0,16.0,-1.5455844122715714,25.0,True,slow_crossing_ball,2,1.2023234500319737,1.4
109,12.448345217518483,10.066596430591545,-3.0,16.0,-0.5455844122715714,25.5,True,slow_crossing_ball,2,1.2073690420959162,1.4
110,11.793414679100643,10.822285513381361,-3.0,16.0,0.4544155877284286,26.5,True,slow_crossing_ball,2,1.2927546080271302,1.4
111,11.1384841406828,11.57797459617118,-3.0,16.0,1.4544155877284286,28.5,True,slow_crossing_ball,2,1.1976462450704355,1.4
112,10.483553602264958,12.333663678960997,-3.0,16.0,2.4544155877284286,90.0,False,,,,
113,9.828623063847116,13.089352761750815,-3.0,16.0,3.4544155877284286,90.0,False,,,,
114,9.173692525429274,13.845041844540633,-3.0,16.0,4.454415587728429,90.0,False,,,,
115,8.518761987011432,14.60073092733045,-3.0,16.0,5.454415587728429,90.0,False,,,,
116,8.45905273966647,14.669626212728485,-3.0,16.0,5.545584412271571,90.0,False,,,,
117,17.234376075187328,7.5980120934781405,-3.0,18.0,-5.545584412271571,90.0,False,,,,
118,16.579445536769487,8.353701176267958,-3.0,18.0,-4.545584412271571,90.0,False,,,,
119,15.924514998351645,9.109390259057776,-3.0,18.0,-3.5455844122715714,29.5,True,slow_crossing_ball,3,1.3925316598651372,1.4
120,15.269584459933803,9.865079341847593,-3.0,18.0,-2.5455844122715714,29.5,True,slow_crossing_ball,3,1.1563729096438362,1.4
121,14.614653921515961,10.620768424637411,-3.0,18.0,-1.5455844122715714,30.0,True,slow_crossing_ball,3,1.3043230142241127,1.4
122,13.959723383098119,11.37645750742723,-3.0,18.0,-0.5455844122715714,31.5,True,slow_crossing_ball,3,1.1624981662738028,1.4
123,13.304792844680279,12.132146590217046,-3.0,18.0,0.4544155877284286,29.0,True,slow_crossing_ball,2,1.3751319453527344,1.4
124,12.649862306262436,12.887835673006864,-3.0,18.0,1.4544155877284286,29.5,True,slow_crossing_ball,2,1.2870197586403687,1.4
125,11.994931767844594,13.643524755796681,-3.0,18.0,2.4544155877284286,30.5,True,slow_crossing_ball,2,1.268187891792877,1.4
126,11.340001229426752,14.3992138385865,-3.0,18.0,3.4544155877284286,32.0,True,slow_crossing_ball,2,1.276590303327195,1.4
127,10.68507069100891,15.154902921376317,-3.0,18.0,4.454415587728429,90.0,False,,,,
128,10.030140152591068,15.910592004166134,-3.0,18.0,5.454415587728429,90.0,False,,,,
129,9.970430905246106,15.979487289564169,-3.0,18.0,5.545584412271571,90.0,False,,,,
130,18.745754240766964,8.907873170313824,-3.0,20.0,-5.545584412271571,90.0,False,,,,
131,18.09082370234912,9.663562253103642,-3.0,20.0,-4.545584412271571,90.0,False,,,,
132,17.43589316393128,10.41925133589346,-3.0,20.0,-3.5455844122715714,90.0,False,,,,
133,16.78096262551344,11.174940418683278,-3.0,20.0,-2.5455844122715714,90.0,False,,,,
134,16.126032087095595,11.930629501473096,-3.0,20.0,-1.5455844122715714,90.0,False,,,,
135,15.471101548677755,12.686318584262914,-3.0,20.0,-0.5455844122715714,33.5,True,slow_crossing_ball,3,1.3079534364322303,1.4
136,14.816171010259913,13.44200766705273,-3.0,20.0,0.4544155877284286,90.0,False,,,,
