time,obstacle_id,x,y,z,radius
32.5,center_patrol_ball,21.795,2.5047,-3.0,0.45
33.0,crossing_ball_left,11.0,14.1,-3.0,0.5
33.0,crossing_ball_right,17.0,-7.0,-3.0,0.5
33.0,center_patrol_ball,22.4691,2.5245,-3.0,0.45
33.5,crossing_ball_left,11.0,14.55,-3.0,0.5
33.5,crossing_ball_right,17.0,-7.5,-3.0,0.5
33.5,center_patrol_ball,23.1326,2.6449,-3.0,0.45
34.0,crossing_ball_left,11.0,15.0,-3.0,0.5
34.0,crossing_ball_right,17.0,-8.0,-3.0,0.5
34.0,center_patrol_ball,23.7707,2.863,-3.0,0.45
34.5,crossing_ball_left,11.0,15.45,-3.0,0.5
34.5,crossing_ball_right,17.0,-8.5,-3.0,0.5
34.5,center_patrol_ball,24.369,3.1741,-3.0,0.45
35.0,crossing_ball_left,11.0,15.9,-3.0,0.5
35.0,crossing_ball_right,17.0,-9.0,-3.0,0.5
35.0,center_patrol_ball,24.9142,3.5711,-3.0,0.45
35.5,crossing_ball_left,11.0,15.65,-3.0,0.5
35.5,crossing_ball_right,17.0,-9.5,-3.0,0.5
35.5,center_patrol_ball,25.3939,4.0451,-3.0,0.45
36.0,crossing_ball_left,11.0,15.2,-3.0,0.5
36.0,crossing_ball_right,17.0,-10.0,-3.0,0.5
36.0,center_patrol_ball,25.7973,4.5854,-3.0,0.45
36.5,crossing_ball_left,11.0,14.75,-3.0,0.5
36.5,crossing_ball_right,17.0,-9.5,-3.0,0.5
36.5,center_patrol_ball,26.1155,5.18,-3.0,0.45
37.0,crossing_ball_left,11.0,14.3,-3.0,0.5
37.0,crossing_ball_right,17.0,-9.0,-3.0,0.5
37.0,center_patrol_ball,26.3413,5.8155,-3.0,0.45
37.5,crossing_ball_left,11.0,13.85,-3.0,0.5
37.5,crossing_ball_right,17.0,-8.5,-3.0,0.5
37.5,center_patrol_ball,26.4696,6.4775,-3.0,0.45
38.0,crossing_ball_left,11.0,13.4,-3.0,0.5
38.0,crossing_ball_right,17.0,-8.0,-3.0,0.5
38.0,center_patrol_ball,26.4975,7.1513,-3.0,0.45
38.5,crossing_ball_left,11.0,12.95,-3.0,0.5
38.5,crossing_ball_right,17.0,-7.5,-3.0,0.5
38.5,center_patrol_ball,26.4243,7.8217,-3.0,0.45
39.0,crossing_ball_left,11.0,12.5,-3.0,0.5
39.0,crossing_ball_right,17.0,-7.0,-3.0,0.5
39.0,center_patrol_ball,26.2519,8.4736,-3.0,0.45
39.5,crossing_ball_left,11.0,12.05,-3.0,0.5
39.5,crossing_ball_right,17.0,-6.5,-3.0,0.5
39.5,center_patrol_ball,25.9839,9.0925,-3.0,0.45
40.0,crossing_ball_left,11.0,11.6,-3.0,0.5
